source,target,type
420,477,indicative
495,421,indicative
421,454,indicative
421,440,indicative
422,748,indicative
422,947,indicative
422,813,indicative
423,811,indicative
423,942,indicative
423,431,indicative
424,444,indicative
497,424,indicative
424,430,indicative
425,940,indicative
425,941,indicative
427,436,indicative
427,437,indicative
427,721,indicative
428,458,indicative
497,428,indicative
428,735,indicative
429,782,indicative
429,712,indicative
503,429,indicative
430,886,indicative
496,430,indicative
430,766,indicative
431,464,indicative
431,810,indicative
431,668,indicative
433,714,indicative
433,715,indicative
433,748,indicative
531,434,indicative
434,437,indicative
434,765,indicative
435,568,indicative
435,562,indicative
435,443,indicative
495,436,indicative
583,437,indicative
437,449,indicative
712,437,indicative
501,438,indicative
641,438,indicative
694,438,indicative
714,439,indicative
439,757,indicative
463,439,indicative
451,440,indicative
501,440,indicative
611,440,indicative
580,441,indicative
696,441,indicative
525,441,indicative
442,886,indicative
865,442,indicative
951,442,indicative
744,443,indicative
497,443,indicative
696,443,indicative
799,444,indicative
702,444,indicative
692,444,indicative
445,465,indicative
445,773,indicative
445,662,indicative
496,446,indicative
868,446,indicative
552,446,indicative
884,447,indicative
607,447,indicative
478,447,indicative
449,771,indicative
577,449,indicative
449,754,indicative
540,450,indicative
450,776,indicative
450,772,indicative
501,451,indicative
451,748,indicative
451,768,indicative
536,452,indicative
452,650,indicative
700,452,indicative
455,453,indicative
455,746,indicative
855,455,indicative
799,455,indicative
693,456,indicative
700,456,indicative
456,884,indicative
557,458,indicative
583,458,indicative
521,458,indicative
590,459,indicative
552,459,indicative
558,459,indicative
521,461,indicative
461,831,indicative
522,461,indicative
462,776,indicative
462,753,indicative
462,783,indicative
568,463,indicative
529,463,indicative
584,463,indicative
582,464,indicative
464,766,indicative
942,464,indicative
465,777,indicative
465,953,indicative
781,465,indicative
500,466,indicative
466,783,indicative
710,466,indicative
473,475,indicative
537,473,indicative
473,762,indicative
474,773,indicative
474,811,indicative
497,474,indicative
475,778,indicative
478,475,indicative
483,475,indicative
520,476,indicative
607,476,indicative
563,476,indicative
477,598,indicative
793,477,indicative
576,477,indicative
478,771,indicative
576,478,indicative
523,478,indicative
479,778,indicative
479,777,indicative
483,780,indicative
483,671,indicative
484,778,indicative
485,779,indicative
485,785,indicative
485,782,indicative
486,762,indicative
496,486,indicative
712,486,indicative
493,755,indicative
493,668,indicative
493,576,indicative
494,700,indicative
494,831,indicative
494,671,indicative
495,509,indicative
495,511,indicative
495,883,indicative
496,780,indicative
496,858,indicative
496,671,indicative
497,888,indicative
497,819,indicative
497,670,indicative
498,666,indicative
498,858,indicative
498,553,indicative
499,553,indicative
499,800,indicative
499,722,indicative
500,712,indicative
500,721,indicative
500,940,indicative
501,556,indicative
501,750,indicative
501,961,indicative
502,598,indicative
502,582,indicative
502,608,indicative
503,702,indicative
503,782,indicative
503,744,indicative
504,585,indicative
504,777,indicative
504,756,indicative
505,721,indicative
505,744,indicative
505,688,indicative
506,778,indicative
506,575,indicative
506,948,indicative
507,605,indicative
507,569,indicative
507,598,indicative
508,811,indicative
508,593,indicative
508,578,indicative
509,552,indicative
509,776,indicative
509,516,indicative
510,775,indicative
510,575,indicative
510,573,indicative
511,954,indicative
511,748,indicative
511,762,indicative
512,855,indicative
512,728,indicative
512,858,indicative
513,884,indicative
855,513,indicative
513,785,indicative
514,603,indicative
514,552,indicative
514,948,indicative
515,555,indicative
515,697,indicative
515,795,indicative
516,948,indicative
559,516,indicative
516,731,indicative
517,735,indicative
517,961,indicative
517,814,indicative
518,952,indicative
518,660,indicative
518,731,indicative
519,755,indicative
519,954,indicative
519,953,indicative
520,951,indicative
690,520,indicative
520,883,indicative
521,765,indicative
521,694,indicative
521,814,indicative
522,576,indicative
687,522,indicative
522,696,indicative
523,668,indicative
523,557,indicative
523,595,indicative
524,577,indicative
524,594,indicative
524,571,indicative
525,765,indicative
525,573,indicative
525,605,indicative
526,771,indicative
526,780,indicative
526,784,indicative
527,650,indicative
687,527,indicative
527,777,indicative
528,800,indicative
528,576,indicative
528,793,indicative
529,775,indicative
529,721,indicative
529,961,indicative
530,553,indicative
627,530,indicative
530,721,indicative
531,561,indicative
531,953,indicative
531,581,indicative
532,578,indicative
532,564,indicative
532,596,indicative
533,556,indicative
533,811,indicative
533,775,indicative
534,884,indicative
534,694,indicative
534,663,indicative
535,821,indicative
535,693,indicative
535,562,indicative
536,595,indicative
536,757,indicative
536,603,indicative
537,742,indicative
537,575,indicative
537,780,indicative
538,570,indicative
538,771,indicative
538,550,indicative
539,768,indicative
539,550,indicative
539,712,indicative
540,660,indicative
540,778,indicative
540,756,indicative
541,591,indicative
542,558,indicative
542,567,indicative
542,604,indicative
548,655,indicative
548,742,indicative
548,697,indicative
549,748,indicative
549,759,indicative
939,549,indicative
687,550,indicative
550,743,indicative
550,612,indicative
551,725,indicative
551,720,indicative
693,551,indicative
793,552,indicative
696,552,indicative
688,552,indicative
553,668,indicative
553,884,indicative
553,768,indicative
554,584,indicative
555,605,indicative
555,593,indicative
555,597,indicative
556,600,indicative
556,568,indicative
556,595,indicative
557,603,indicative
557,821,indicative
557,742,indicative
558,725,indicative
558,767,indicative
558,799,indicative
559,754,indicative
559,581,indicative
559,596,indicative
696,560,indicative
560,721,indicative
687,560,indicative
580,561,indicative
793,562,indicative
792,562,indicative
562,762,indicative
563,778,indicative
574,563,indicative
563,755,indicative
564,886,indicative
564,820,indicative
858,564,indicative
565,952,indicative
565,775,indicative
565,766,indicative
566,881,indicative
687,566,indicative
566,819,indicative
793,567,indicative
567,755,indicative
567,731,indicative
568,753,indicative
568,781,indicative
568,600,indicative
951,569,indicative
938,569,indicative
688,569,indicative
940,570,indicative
941,570,indicative
570,746,indicative
571,768,indicative
855,571,indicative
571,742,indicative
572,767,indicative
572,583,indicative
572,612,indicative
940,573,indicative
941,573,indicative
573,603,indicative
574,611,indicative
574,590,indicative
574,754,indicative
575,746,indicative
575,758,indicative
575,611,indicative
576,593,indicative
576,884,indicative
576,762,indicative
577,881,indicative
792,577,indicative
687,577,indicative
578,765,indicative
578,771,indicative
