,CourseCode,PedagogicalName,NRegistrations
308,AR-405,Master semestre 3,33
309,AR-406,Master semestre 2,11
310,AR-407,Master semestre 1,137
311,AR-407,Master semestre 3,58
312,AR-408,Master semestre 2,36
313,AR-409,Master semestre 3,10
314,AR-410,Master semestre 2,212
315,AR-411,Master semestre 1,501
316,AR-411,Master semestre 3,199
317,AR-412,Master semestre 2,635
318,AR-413,Master semestre 1,57
319,AR-413,Master semestre 3,34
320,AR-413,Semestre automne,10
321,AR-414,Master semestre 2,148
322,AR-414,Semestre printemps,23
323,AR-415,Master semestre 1,83
324,AR-415,Master semestre 2,12
325,AR-415,Master semestre 3,12
326,AR-415,Semestre automne,27
327,AR-415,Semestre printemps,9
328,AR-416,Master semestre 2,113
329,AR-416,Semestre printemps,31
330,AR-417,Master semestre 1,28
331,AR-417,Master semestre 3,5
332,AR-417,Semestre automne,20
333,AR-418,Master semestre 2,21
334,AR-418,Semestre printemps,31
335,AR-419,Master semestre 1,128
336,AR-419,Master semestre 3,52
337,AR-420,Master semestre 2,22
338,AR-420,Semestre printemps,17
339,AR-421,Master semestre 1,472
340,AR-421,Master semestre 3,281
341,AR-422,Master semestre 2,304
342,AR-423,Master semestre 1,193
343,AR-423,Master semestre 2,24
344,AR-423,Master semestre 3,244
345,AR-424,Master semestre 2,343
346,AR-425,Master semestre 1,93
347,AR-425,Master semestre 3,34
348,AR-426,Master semestre 2,89
349,AR-426,Semestre printemps,25
350,AR-427,Master semestre 1,118
351,AR-427,Master semestre 3,82
352,AR-429,Master semestre 1,68
353,AR-429,Master semestre 3,45
354,AR-430,Master semestre 2,207
355,AR-431,Master semestre 1,198
356,AR-431,Master semestre 3,164
357,AR-432,Master semestre 1,50
358,AR-432,Master semestre 3,29
359,AR-432,Semestre automne,7
360,AR-433,Master semestre 2,20
361,AR-433,Semestre printemps,11
362,AR-434,Master semestre 1,103
363,AR-434,Master semestre 3,55
364,AR-434,Semestre automne,13
365,AR-435,Master semestre 1,6
366,AR-435,Semestre automne,7
367,AR-437,Master semestre 1,239
368,AR-437,Master semestre 3,60
369,AR-438,Master semestre 1,55
370,AR-438,Master semestre 3,34
371,AR-438,Semestre automne,86
372,AR-439,Master semestre 1,89
373,AR-439,Master semestre 3,48
374,AR-439,Semestre automne,51
375,AR-440,Master semestre 1,23
376,AR-440,Master semestre 2,26
377,AR-440,Semestre automne,13
378,AR-440,Semestre printemps,37
379,AR-441,Master semestre 1,60
380,AR-441,Master semestre 2,5
381,AR-441,Master semestre 3,38
382,AR-441,Semestre automne,31
383,AR-441,Semestre printemps,4
384,AR-442,Master semestre 1,60
385,AR-442,Master semestre 3,14
386,AR-442,Semestre automne,11
387,AR-443,Master semestre 1,41
388,AR-444,Master semestre 1,150
389,AR-446,Master semestre 2,4
390,AR-446,Semestre printemps,2
391,AR-447,Master semestre 1,50
392,AR-447,Master semestre 3,26
393,AR-447,Semestre automne,15
394,AR-448,Master semestre 2,46
395,AR-448,Semestre printemps,28
396,AR-450,Master semestre 1,25
397,AR-451,Master semestre 1,348
398,AR-451,Master semestre 2,100
399,AR-451,Master semestre 3,93
400,AR-451,Semestre automne,44
401,AR-451,Semestre printemps,5
402,AR-452,Master semestre 2,348
403,AR-452,Semestre printemps,30
404,AR-453,Master semestre 1,48
405,AR-453,Master semestre 3,100
406,AR-453,Semestre automne,3
407,AR-454,Master semestre 2,260
408,AR-455,Master semestre 1,155
409,AR-455,Master semestre 3,99
410,AR-455,Semestre automne,63
411,AR-456,Master semestre 2,352
412,AR-456,Semestre printemps,38
413,AR-457,Master semestre 1,373
414,AR-457,Master semestre 3,148
415,AR-458,Master semestre 2,282
416,AR-458,Semestre printemps,74
417,AR-459,Master semestre 1,174
418,AR-459,Master semestre 3,106
419,AR-459,Semestre automne,51
420,AR-460,Master semestre 2,117
421,AR-460,Semestre printemps,13
422,AR-461,Master semestre 1,148
423,AR-461,Master semestre 3,47
424,AR-461,Semestre automne,24
425,AR-462,Master semestre 2,59
426,AR-463,Master semestre 3,65
427,AR-463,Semestre automne,7
428,AR-464,Master semestre 2,37
429,AR-464,Semestre printemps,10
430,AR-465,Master semestre 1,273
431,AR-465,Master semestre 3,143
432,AR-465,Semestre automne,70
433,AR-466,Master semestre 1,4
434,AR-466,Master semestre 2,26
435,AR-466,Master semestre 3,8
436,AR-466,Semestre automne,6
437,AR-466,Semestre printemps,33
438,AR-467,Master semestre 3,20
439,AR-467,Semestre automne,12
440,AR-468,Master semestre 3,86
441,AR-469,Master semestre 3,32
442,AR-469,Semestre automne,9
443,AR-470,Master semestre 1,172
444,AR-471,Master semestre 1,76
445,AR-471,Master semestre 3,47
446,AR-471,Semestre automne,36
447,AR-471(a),Master semestre 3,11
448,AR-471(a),Semestre automne,4
449,AR-472,Master semestre 2,54
450,AR-472(b),Master semestre 2,3
451,AR-472(b),Semestre printemps,4
452,AR-473,Master semestre 1,24
453,AR-473,Semestre automne,3
454,AR-475,Master semestre 1,4
455,AR-475,Semestre automne,9
456,AR-476,Master semestre 1,10
457,AR-476,Semestre automne,10
458,AR-477,Master semestre 1,27
459,AR-477,Master semestre 3,25
460,AR-477,Semestre automne,23
461,AR-481,Master semestre 1,359
462,AR-481,Master semestre 3,242
463,AR-486,Master semestre 2,10
464,AR-486,Semestre printemps,6
465,AR-487,Master semestre 3,35
466,AR-487,Semestre automne,3
467,AR-488,Master semestre 2,78
468,AR-489,Master semestre 1,165
469,AR-489,Master semestre 3,68
470,AR-489,Semestre automne,28
471,AR-491,Master semestre 2,107
472,AR-492,Master semestre 2,267
473,AR-492,Semestre printemps,51
474,AR-494,Master semestre 2,20
475,AR-494,Semestre printemps,6
476,AR-501(c),Master semestre 1,1
477,AR-501(c),Master semestre 3,2
478,AR-501(e),Master semestre 1,1
479,AR-501(f),Master semestre 1,1
480,AR-501(f),Master semestre 3,1
481,AR-501(g),Master semestre 3,2
482,AR-501(h),Master semestre 1,1
483,AR-501(h),Master semestre 3,3
484,AR-501(i),Master semestre 1,2
485,AR-501(j),Master semestre 1,2
486,AR-501(k),Master semestre 1,2
487,AR-501(l),Master semestre 1,1
488,AR-511,Master semestre 1,46
489,AR-513,Master semestre 1,22
490,AR-520,Master semestre 1,24
491,AR-520,Master semestre 2,4
492,AR-521,Master semestre 1,275
493,AR-521,Master semestre 3,151
494,AR-522,Master semestre 2,111
495,AR-524,Master semestre 2,81
496,AR-526,Master semestre 2,38
497,AR-528,Master semestre 2,24
498,AR-535,Master semestre 2,224
